Product.ID,Product.Name,Profit
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,-8879.9704
OFF-AP-10001623,"Hoover Stove, White",-4958.1630000000005
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,-4589.973
TEC-PH-10002991,"Apple Smart Phone, Full Size",-4574.6439
TEC-MOT-10003050,"Motorola Smart Phone, Cordless",-3998.6820000000002
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,-3839.9904
FUR-CH-10001582,"Office Star Executive Leather Armchair, Black",-3066.783
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,-2876.1156
FUR-TA-10002885,"Lesro Computer Table, Fully Assembled",-2798.488
FUR-TA-10002172,"Hon Conference Table, Rectangular",-2619.3105
