Category,Sub.Category,Profit
Furniture,Tables,-144123.14860000001
Furniture,Bookcases,-101446.2973
Technology,Phones,-96417.6601
Furniture,Chairs,-96084.8969
Technology,Machines,-78672.7403
Office Supplies,Storage,-76063.978
Technology,Copiers,-71547.49982
Office Supplies,Appliances,-63991.6904
Office Supplies,Binders,-52884.0613
Technology,Accessories,-39857.4982
Furniture,Furnishings,-28514.4969
Office Supplies,Art,-21660.6277
Office Supplies,Supplies,-18184.431
Office Supplies,Envelopes,-10863.5655
Office Supplies,Paper,-10299.4937
Office Supplies,Fasteners,-6273.2999
Office Supplies,Labels,-3760.7701
