Sub.Category,Sales,Profit
Phones,1706874,216717.00579999998
Copiers,1509439,258567.54818
Chairs,1501682,140396.2675
Bookcases,1466559,161924.4195
Storage,1127124,108461.4898
Appliances,1011081,141680.5894
Machines,779071,58867.873
Tables,757034,-64083.3887
Accessories,749307,129626.3062
Binders,461952,72449.846
Furnishings,385609,46967.4255
Art,372163,57953.9109
Paper,244307,59207.6827
Supplies,243090,22583.2631
Envelopes,170926,29601.1163
Fasteners,83254,11525.4241
Labels,73433,15010.512
